Year,Utility ID,Name,Class,Type,Disconnection Notices End Of Q1,Disconnection Notices End Of Q2,Disconnection Notices End Of Q3,Disconnection Notices End Of Q4,Disconnections End Of Q1,Disconnections End Of Q2,Disconnections End Of Q3,Disconnections End Of Q4,Customers with Arrears End Of Q1,Amount of Arrears End of Q1,Customers with Arrears End Of Q2,Amount of Arrears End of Q2,Customers with Arrears End Of Q3,Amount of Arrears End of Q3,Customers with Arrears End of Q4,Amount of Arrears End of Q4,Added to Tax Roll,Amount Added to Tax Rol,
2023,2230,Gilman Water Utility,D,Water,19,10,18,13,1,0,1,0,17,3648,11,2673,23,8464,11,3793,12,12622,
2023,2220,Gillett Water And Sewer Commission,D,Water,372,631,756,1095,4,7,12,12,114,7737,58,5462,74,7646,142,10318,26,10553,
2023,2190,Genoa Municipal Water And Sewer Utility,D,Water,0,0,0,0,0,0,0,0,18,3319,16,3978,22,3438,0,0,10,7728,
2023,2170,Village of Gays Mills Municipal Water Utility,D,Water,0,0,0,29,0,0,0,0,0,0,0,0,0,0,30,1841,15,4032,
2023,2160,City of Galesville Municipal Water and Sewer Utility,D,Water,0,20,0,0,0,1,0,0,423,39663,401,37646,469,57877,454,41723,20,1498,
2023,2157,Fulton Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,2150,Friesland Municipal Water Utility,D,Water,5,4,27,30,0,0,0,0,0,0,0,0,0,0,12,665,3,404,
2023,2140,Village of Friendship Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,2130,Fredonia Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7770,
2023,2110,Frederic Water Commission,D,Water,82,76,74,80,3,0,2,0,2,130,6,1670,9,855,6,875,0,0,
2023,2080,City of Fox Lake Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,2070,Fountain City Water Utility,D,Water,0,0,0,0,0,0,0,0,20,1699,22,2075,22,2719,25,64,40,4381,
2023,2045,Forest Junction Utilities,D,Water,0,0,0,0,0,0,0,0,23,4156,27,4590,34,6137,19,3120,2,1181,
2023,2040,Footville Water Utility,D,Water,0,0,0,2,0,0,0,0,11,1868,17,2682,12,1936,3,369,0,0,
2023,1985,Fifield Sanitary District,D,Water,0,0,0,3,0,0,0,3,8,1408,2,227,12,2004,8,968,2,746,
2023,1930,Fall River Municipal Water Utility,D,Water,21,0,30,12,0,0,0,0,228,3800,230,3906,246,4275,268,7065,4,263,
2023,1920,Fall Creek Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,112,10324,119,13534,122,16228,102,6760,31,6433,
2023,1900,Fairwater Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,22,1294,19,2076,28,3543,10,198,13,3063,
2023,1890,Fairchild Municipal Water Utility,D,Water,37,50,39,58,4,4,1,2,14,1093,11,1009,7,559,9,1069,0,0,
2023,1885,Exeland Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,14,544,12,536,20,847,18,718,8,925,
2023,1870,Ettrick Municipal Water And Sewer Utility,D,Water,2,2,0,0,2,2,0,0,51,11460,57,10910,50,11695,51,10168,2,1532,
2023,1860,Embarrass Water And Sewer Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,301,0,0,
2023,1830,Elmwood Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,1810,Elk Mound Municipal Water and Sewer Utility,D,Water,20,36,46,62,0,0,0,0,55,3833,56,5108,71,6162,72,8571,12,1578,
2023,1790,Elkhart Lake Water Department,D,Water,0,12,5,0,0,0,0,0,31,3734,49,5484,42,8522,36,7386,10,680,
2023,1780,Eleva Municipal Water Utility,D,Water,25,25,26,29,0,0,0,1,15,76,13,73,9,8,12,9,0,0,
2023,1770,Elcho Sanitary District No 1,D,Water,0,0,0,0,0,0,0,0,46,7927,43,7804,39,7962,43,7243,13,6244,
2023,1750,Edgar Municipal Water Utility,D,Water,31,51,8,49,0,0,0,0,8,121,5,447,9,1091,3,140,4,485,
2023,1735,East Troy Sanitary District #3,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,1720,Eastman Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2215,10,2215,
2023,1700,Village of Eagle Municipal Water Utility,D,Water,53,63,54,57,0,0,0,0,0,1032,0,556,0,423,0,395,0,0,
2023,1690,Durand Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,153,10860,170,14623,154,16732,156,8515,44,11447,
2023,1685,Drummond Sanitary District 1,D,Water,0,0,3,0,0,0,0,0,0,0,0,0,1,76,2,120,1,535,
2023,1680,Dresser Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,65,7327,60,10574,70,14485,70,5501,27,10472,
2023,1675,Downsville Sanitary District No 1,D,Water,0,0,2,0,0,1,0,0,2,189,4,561,7,1117,5,1200,0,0,
2023,1670,Dousman Water Utility,D,Water,0,0,0,0,0,0,0,0,145,19475,147,25558,145,29032,133,7327,61,10692,
2023,1660,Village of Dorchester Water Utility,D,Water,28,29,34,25,0,0,0,2,38,11805,18,5240,406,150240,406,150240,1,794,
2023,1645,Dodge Sanitary District #1,D,Water,4,0,5,0,0,0,0,0,7,1356,7,1189,7,2236,10,3035,0,0,
2023,1620,Dickeyville Water Utility,D,Water,109,107,111,117,0,0,0,0,35,857,29,644,38,623,37,534,0,0,
2023,1600,Denmark Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,710,99713,836,134045,896,143146,872,133460,0,0,
2023,1595,Delafield Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1607,
2023,1550,Darien Water Works and Sewer System,D,Water,63,129,94,98,0,7,2,6,63,7423,198,13620,153,13855,130,10733,4,524,
2023,1540,Dane Water and Sewer Utility,D,Water,0,0,0,0,0,0,0,0,60,4492,66,5551,61,5114,61,4779,10,8013,
2023,1535,Danbury Sanitary District,D,Water,18,16,17,19,0,0,0,0,43,6459,25,6051,24,6168,22,3345,10,5465,
2023,1520,Dallas Municipal Water Utility,D,Water,0,38,35,0,0,0,0,0,35,22303,27,16058,38,17499,44,8217,12,1591,
2023,1505,Curtiss Municipal Water and Sewer Utility,D,Water,0,0,0,49,0,0,0,0,0,0,0,0,0,0,9,1570,2,150,
2023,1435,Village of Crivitz Water Utility,D,Water,0,0,0,12,0,0,0,0,65,8148,54,6561,55,9737,78,10609,6,5670,
2023,1400,Crandon Water And Sewer Utility,D,Water,0,0,0,123,0,0,0,15,70,10941,73,8590,70,10663,53,10676,0,0,
2023,1395,Country Estates Sanitary District,D,Water,0,19,16,0,0,0,0,0,17,5213,19,15135,16,22754,9,12886,14,11002,
2023,1360,Coon Valley Municipal Water Utility,D,Water,43,48,54,34,0,0,0,0,0,0,0,0,4,335,1,733,0,0,
2023,1280,Coloma Municipal Water Utility,D,Water,33,29,27,30,0,0,0,1,29,2708,39,3727,38,3698,45,3941,1,62960,
2023,1270,Colfax Municipal Water And Sewer Utility,D,Water,13,13,13,21,1,0,0,0,13,1073,10,2002,13,2674,6,1588,15,3002,
2023,1260,Coleman Water Utility,D,Water,67,29,32,70,4,3,0,0,73,14939,63,12323,60,10775,49,1406,1,123,
2023,1250,City of Colby Municipal Water Utility,D,Water,130,94,104,94,2,2,1,2,25,1896,28,1333,27,2107,39,3358,0,0,
2023,1240,Cochrane Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,34,2900,41,4369,39,4022,0,0,16,3249,
2023,1220,Cobb Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4164,5,340,
2023,1210,Clyman Utility Commission,D,Water,0,0,0,0,0,0,0,0,32,10855,25,4606,31,1014,36,6150,13,9982,
2023,1190,Clinton Municipal Waterworks,D,Water,0,0,0,504,0,0,0,5,175,21701,192,24643,181,25038,207,18951,3,1259,
2023,1180,Cleveland Water Utility,D,Water,0,0,0,0,0,0,0,0,129,22934,86,23400,97,27786,148,31870,0,0,
2023,1160,Clear Lake Municipal Water Utility,D,Water,0,12,0,0,0,0,0,0,95,4637,58,2891,67,4496,90,3736,20,1908,
2023,1150,Clayton Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,1060,Chaseburg Water and Sewer Utility,D,Water,0,0,0,0,0,0,0,0,16,1125,13,847,5,281,12,847,6,2035,
2023,1050,Centuria Municipal Water And Sewer Utility,D,Water,73,31,39,76,0,2,8,0,55,3025,31,672,39,998,70,3035,0,0,
2023,1010,Cedar Grove Municipal Water Utility,D,Water,20,17,13,6,0,0,0,0,140,11000,159,21972,167,11458,183,12172,19,2509,
2023,990,Village of Cazenovia Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,915,3,915,
2023,980,Cassville Water and Sewer Utility,D,Water,0,0,0,32,0,0,0,0,22,1789,12,942,29,5387,31,5090,16,4904,
2023,955,Cascade Water Utility,D,Water,23,27,26,27,0,0,0,0,23,9335,27,6728,26,6411,27,40846,0,0,
2023,950,Camp Douglas Municipal Water Utility,D,Water,0,0,0,10,0,0,0,0,32,2089,33,3018,35,4053,61,3304,8,1887,
2023,940,Campbellsport Municipal Water Utility,D,Water,0,2,0,0,0,0,0,0,20,6191,22,7511,20,7008,30,13007,3,2665,
2023,930,Village of Cameron Municipal Water Utility,D,Water,2,0,3,5,76,28,69,53,122,16726,158,23800,153,18749,155,22665,5,1660,
2023,920,Cambridge Municipal Water Utility,D,Water,73,67,81,77,0,0,0,0,148,2646,161,2646,177,5675,171,5549,57,19567,
2023,910,Cambria Municipal Water Utility,D,Water,43,41,60,48,0,3,1,4,2,90,4,352,10,1071,14,628,2,264,
2023,870,Butternut Municipal Water Department,D,Water,196,0,0,0,3,0,0,0,16,1053,30,2149,30,1989,32,2126,9,3661,
2023,810,Bruce Municipal Water and Sewer Utility,D,Water,63,62,55,64,3,4,0,2,22,1603,23,2187,30,3879,27,1220,3,870,
2023,800,Browntown Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1880,0,0,
2023,790,Brownsville Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1725,
2023,770,Brooklyn Water Utility,D,Water,0,56,75,42,0,0,1,0,256,4685,264,2070,268,3562,274,3814,15,2207,
2023,730,Town of Brockway Sanitary District 1,D,Water,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,53,31202,
2023,720,Bristol Water Utility,D,Water,0,0,0,0,0,0,0,0,58,7881,56,9430,65,13121,57,5114,29,8355,
2023,705,Bridgeport Sanitary Dist,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3370,
2023,700,Brandon Sewer and Water Utility,D,Water,40,50,44,23,4,6,3,2,47,5778,58,7863,59,8037,55,6867,19,2579,
2023,690,Boyd Municipal Water And Sewer Utility,D,Water,131,155,163,159,2,0,1,0,3,627,7,1015,7,397,14,1424,4,486,
2023,680,Boyceville Municipal Water Utility,D,Water,54,52,53,50,3,1,3,5,6,1088,3,729,5,764,12,699,1,131,
2023,670,Bowler Water And Sewer Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,630,Bonduel Water and Sewer Utility,D,Water,62,64,54,70,1,1,1,0,62,8482,64,9045,54,12170,70,6959,0,0,
2023,627,Bluffview Sanitary District,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,620,Blue River Municipal Water And Sewer Utility,D,Water,0,0,0,119,0,0,0,3,0,0,0,0,0,0,9,1301,2,302,
2023,615,Village of Blue Mounds Municipal Water Utility,D,Water,19,16,20,18,0,0,0,0,19,2162,16,1876,20,2383,18,1868,0,0,
2023,610,Bloomington Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,10,1213,26,2619,16,1537,10,2104,10,2059,
2023,570,Blanchardville Municipal Water Utility,D,Water,15,18,20,22,0,1,1,2,58,10927,67,12065,71,16072,78,16565,4,2139,
2023,560,Blair Municipal Water Utility,D,Water,0,0,0,756,0,0,0,22,7,1099,5,595,4,459,11,1577,0,0,
2023,520,Black Creek Municipal Water and Sewer Utility,D,Water,37,49,41,43,0,1,0,0,24,4446,17,2360,15,1859,20,2819,2,630,
2023,510,Biron Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,20,3067,20,3067,20,3067,19,3032,8,2925,
2023,500,Birnamwood Municipal Water Utility,D,Water,0,0,0,42,0,0,0,2,16,9592,33,13884,26,8881,37,18870,0,0,
2023,490,Birchwood Municipal Water Utility,D,Water,28,27,25,15,0,0,0,0,41,4137,22,2701,19,1150,23,2792,1,238,
2023,410,Belgium Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,111,10819,113,13650,108,54777,145,8918,52,11188,
2023,405,Beaver Brook Sanitary District No 1,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,157,
2023,395,Bear Creek Water Utility,D,Water,19,28,36,26,0,0,0,0,35,3809,35,6036,34,5121,35,4315,3,987,
2023,385,Bayfield Water and Sewer Utility,D,Water,0,0,0,0,0,0,0,0,29,4434,177,32036,46,4232,232,13439,0,0,
2023,381,Village of Bay City Water Utility,D,Water,18,19,17,20,0,0,0,0,42,2916,41,3226,39,4291,51,3563,0,0,
2023,370,Barneveld Municipal Water Utility,D,Water,44,0,60,0,0,0,0,0,44,6719,0,0,60,9438,0,0,16,958,
2023,340,Balsam Lake Municipal Water Utility,D,Water,13,5,0,36,0,1,0,0,42,2571,31,1185,35,1550,53,2148,4,1279,
2023,310,Bagley Municipal Water Utility,D,Water,0,0,20,23,0,0,0,0,19,3564,17,2947,30,7406,33,9309,0,0,
2023,280,Avoca Municipal Water Utility,D,Water,0,0,0,840,0,0,0,5,0,0,0,0,0,0,10,3500,10,690,
2023,270,City of Augusta Municipal Water and Sewer Utility,D,Water,102,130,137,130,0,1,0,0,102,10828,130,15810,137,20999,130,15581,66,12787,
2023,260,Athens Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,44,2164,38,1906,48,3135,47,2344,11,6157,
2023,240,Arlington Water Utility,D,Water,0,0,0,0,0,0,0,0,54,17468,59,20787,63,24945,62,12993,36,42317,
2023,220,Arena Municipal Water Utility,D,Water,24,16,25,21,0,1,0,0,77,1910,84,2268,82,3486,75,62009,1,225,
2023,200,Applewood Hill Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023,160,Village of Amherst Water Utility,D,Water,0,0,0,0,0,0,0,0,62,9314,62,11964,90,14946,96,7582,40,7095,
2023,100,Almena Municipal Water Utility,D,Water,14,20,14,16,0,0,0,0,18,1136,25,1595,21,1380,20,815,5,501,
2023,90,Alma Center Water Utility,D,Water,60,63,58,62,2,0,1,0,2,28,3,55,4,122,7,641,3,165,
2023,80,Alma Municipal Water Utility,D,Water,0,0,0,0,0,0,0,0,135,7783,127,7333,125,7627,131,7573,29,3889,
2023,60,Allenton Sanitary District No 1,D,Water,0,0,0,0,0,0,0,0,101,28499,130,47572,126,49678,126,28483,25,15537,
2023,40,Albany Municipal Water And Sewer Utility,D,Water,25,15,45,23,0,2,1,1,25,12532,15,9835,45,13238,23,7652,3,440,
2023,30,Adell Municipal Sewer And Water Utility,D,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6730,22,4912,
2023,20,Adams Municipal Water And Sewer Utility,D,Water,10,14,12,6,6,14,8,5,18,1079,15,14975,28,13384,25,10422,8,1229,
2023,10,Abbotsford Municipal Water Utility,D,Water,0,0,0,1239,0,0,0,60,106,13330,98,12362,123,16390,131,16910,5,1367,
2022,6700,Wisconsin Rapids Water Works and Lighting Commission,AB,Water,,,,637,,,,190,1181,37850,779,22409,844,37763,1668,54862,52,10276,
2022,6480,Village of Whitefish Bay Water Utility,AB,Water,,,,0,,,,0,201,180770,211,274801,212,347592,182,126904,271,174357,
2022,6420,Weston Water Utility,AB,Water,,,,451,,,,33,558,52060,675,57362,577,59714,721,69187,94,23092,
2022,6380,City of West Bend Water Utility,AB,Water,,,,0,,,,0,5583,534301,5682,537545,5732,581618,5716,564005,817,402826,
2022,6360,West Allis Municipal Water Utility,AB,Water,,,,256,,,,7,3467,1146343,3674,1578702,3888,1999106,3541,762555,2036,1454912,
2022,6320,Wauwatosa Water Utility,AB,Water,,,,0,,,,0,2757,297714,3671,378307,4120,442223,2617,499557,1049,365534,
2022,6300,Wausau Water Utility,AB,Water,,,,0,,,,0,2811,239755,2927,328264,2860,403481,3097,159709,1221,262422,
2022,6290,Waupun Public Utilities,AB,Water,,,,3590,,,,30,0,0,0,0,0,0,550,36834,22,1275,
2022,6280,Waupaca Water Utility,AB,Water,,,,853,,,,40,189,26743,216,25904,245,28568,204,16658,44,7589,
2022,6260,Waunakee Water And Light Commission,AB,Water,,,,0,,,,0,322,9745,312,6088,355,6054,255,8115,4,163,
2022,6240,City of Waukesha Water Utility,AB,Water,,,,0,,,,0,1895,652735,2047,974058,2094,1279641,1904,242833,1252,436019,
2022,6230,Watertown Water Department,AB,Water,,,,16,,,,0,0,0,0,0,0,0,871,175701,400,408809,
2022,6220,Waterloo Water And Light Commission,AB,Water,,,,1091,,,,91,0,0,0,0,0,0,0,0,6,3518,
2022,6100,Verona Water Utility,AB,Water,,,,0,,,,0,255,22827,302,28033,252,34781,197,13401,98,29442,
2022,5990,Two Rivers Water and Light Utility,AB,Water,,,,6818,,,,7,994,51293,632,21090,759,17061,1063,40952,58,17784,
2022,5810,Sun Prairie Utilities,AB,Water,,,,17962,,,,1,1084,699216,732,328907,672,351880,1029,415777,31,4964,
2022,5780,Sturgeon Bay Utilities,AB,Water,,,,529,,,,10,613,13636,107,5018,162,3580,215,4197,49,3653,
2022,5750,Stoughton Water Utility,AB,Water,,,,3126,,,,10,582,14300,722,19955,724,20017,711,26649,10,1317,
2022,5690,Stevens Point Municipal Water Utility,AB,Water,,,,2014,,,,78,1178,60799,1411,57903,1538,63630,1559,83244,165,10478,
2022,5610,Sparta Municipal Water Department,AB,Water,,,,850,,,,39,401,20898,274,11567,235,12037,385,22083,92,11098,
2022,5590,South Milwaukee Water Utility,AB,Water,,,,0,,,,0,721,181196,751,238434,786,310444,735,128610,544,238720,
2022,5380,Sheboygan Falls Utilities,AB,Water,,,,1826,,,,211,181,13217,131,9163,141,11135,233,9657,91,5469,
2022,5370,Sheboygan Water Utility,AB,Water,,,,919,,,,85,1744,81203,1781,91612,1936,108652,2666,60311,1151,102658,
2022,5365,City of Shawano Water and Sewer Utility,AB,Water,,,,9141,,,,7,405,15753,403,9740,513,12901,475,12929,54,3375,
2022,5110,River Falls Municipal Utility,AB,Water,,,,1338,,,,0,269,105014,118,152256,118,148413,238,123985,13,5760,
2022,5105,Ripon Water Utility,AB,Water,,,,850,,,,16,0,0,0,0,0,0,357,56315,18,6785,
2022,5050,Rice Lake Municipal Water and Electric Utility,AB,Water,,,,5321,,,,39,811,222744,715,142489,820,152460,510,111596,75,2230,
2022,4970,Reedsburg Utility Commission,AB,Water,,,,5092,,,,53,2793,41759,2843,45774,3089,53434,2975,44809,15,470,
2022,4900,Racine Water Works Commission,AB,Water,,,,0,,,,0,0,0,0,0,0,0,11681,989045,6298,2010281,
2022,4780,Port Washington Municipal Water Utility,AB,Water,,,,0,,,,0,555,72608,1082,142523,644,105976,858,81499,174,56105,
2022,4740,Plymouth Utilities,AB,Water,,,,392,,,,13,126,29188,0,0,0,0,134,47330,0,0,
2022,4737,Village of Plover Municipal Water Utility,AB,Water,,,,0,,,,0,504,140997,533,223102,608,217845,612,137630,193,58906,
2022,4730,Village of Pleasant Prairie Water Utility,AB,Water,,,,0,,,,0,830,47487,934,59605,1027,86039,923,33377,270,56835,
2022,4700,Platteville Water and Sewer Utility,AB,Water,,,,5369,,,,109,0,0,0,0,0,0,290,18194,44,12507,
2022,4480,City of Oshkosh Water Utility,AB,Water,,,,0,,,,0,5795,1642632,5739,1926899,6708,2547571,6444,1482653,1692,1276246,
2022,4440,Oregon Municipal Water And Sewer Utility,AB,Water,,,,0,,,,0,536,19350,560,23557,578,25889,603,21033,109,9965,
2022,4410,Onalaska Municipal Water Utility,AB,Water,,,,0,,,,0,320,51015,400,114431,614,196196,392,61961,293,50100,
2022,4340,City of Oconomowoc Utilities,AB,Water,,,,16,,,,0,1830,42985,1915,28178,1808,27301,1793,32782,27,2683,
2022,4310,Oak Creek Water and Sewer Utility,AB,Water,,,,0,,,,0,1659,217043,1525,292929,1542,368138,1684,141350,554,202507,
2022,4130,New London Electric and Water Utility,AB,Water,,,,1635,,,,31,0,0,0,0,0,0,0,16631,20,3573,
2022,4090,New Berlin Water Utility,AB,Water,,,,0,,,,0,1099,330612,908,344233,1275,558552,1239,214457,1021,216423,
2022,4030,City of Neenah Water Utility,AB,Water,,,,0,,,,0,862,231427,1077,288991,1382,370773,584,156722,907,243352,
2022,3820,Monroe Municipal Water Utility,AB,Water,,,,2424,,,,14,26,4550,51,5829,67,6961,52,4553,10,3408,
2022,3720,Milwaukee Water Works,AB,Water,,,,91207,,,,0,34632,5844510,0,0,0,0,34617,4727666,15351,7450997,
2022,3640,Middleton Municipal Water Utility,AB,Water,,,,0,,,,0,3,30,17,999,410,60378,5035,765687,148,78194,
2022,3595,Mequon Municipal Water Utility,AB,Water,,,,0,,,,0,508,68788,702,87516,633,95127,360,61018,52,23210,
2022,3590,City of Menomonie Water Department,AB,Water,,,,2035,,,,17,76,14102,61,18784,68,40757,67,18247,37,4906,
2022,3580,Village of Menomonee Falls Water Utility,AB,Water,,,,0,,,,0,0,0,0,0,0,0,0,0,679,146283,
2022,3560,Menasha Electric and Water Utilities,AB,Water,,,,16572,,,,254,641,5158,213,1656,1062,9108,1454,13219,43,7591,
2022,3550,Fox Crossing Utilities,AB,Water,,,,10413,,,,0,739,317704,621,393340,843,631459,318,471782,313,130189,
2022,3420,Marshfield Utilities,AB,Water,,,,6935,,,,0,0,0,0,0,0,0,568,26058,97,10901,
2022,3370,Marinette Municipal Water Utility,AB,Water,,,,1666,,,,239,0,0,0,0,0,0,460,82581,203,39337,
2022,3320,Manitowoc Public Utilities,AB,Water,,,,20537,,,,0,1321,72418,1028,45612,1189,47870,1667,78870,106,3626,
2022,3280,Madison Water Utility,AB,Water,,,,0,,,,0,3983,367783,4141,582971,4620,963667,14667,404826,2597,770917,
2022,3160,Lodi Municipal Light And Water Utility,AB,Water,,,,1158,,,,0,135,6113,156,6695,187,8437,144,6203,1,100,
2022,3140,Little Chute Municipal Water Department,AB,Water,,,,0,,,,0,382,21235,409,27445,445,35921,428,8121,188,23951,
2022,3000,Lake Mills Light And Water Department,AB,Water,,,,0,,,,0,0,0,0,0,0,0,66,6244,12,1527,
2022,2980,Lake Geneva Utility Commission,AB,Water,,,,1569,,,,108,0,0,0,0,0,0,521,10278,10,1946,
2022,2920,La Crosse Water Utility,AB,Water,,,,0,,,,0,2593,433326,2631,576531,1202,277583,2692,311719,1204,226642,
2022,2820,Kenosha Water Utility,AB,Water,,,,0,,,,0,6635,5932,6897,7600,6949,9682,7309,4771,2839,616060,
2022,2800,Kaukauna Utilities,AB,Water,,,,0,,,,0,0,0,0,0,0,0,1106,69237,102,11199,
2022,2740,Janesville Water Utility,AB,Water,,,,0,,,,0,2342,498734,2347,582499,2402,873718,2298,375045,2826,2433059,
2022,2650,Hustisford Utilities,AB,Water,,,,48,,,,0,15,2919,7,1700,13,1150,20,1797,5,586,
2022,2630,Hudson Public Utilities,AB,Water,,,,0,,,,0,0,0,0,0,0,0,0,0,458,250741,
2022,2620,Village of Howard Water and Sewer Department,AB,Water,,,,0,,,,0,0,0,0,0,0,0,890,62627,367,134067,
2022,2470,City of Hartford Utilities,AB,Water,,,,1409,,,,0,5934,32897,6357,12079,5226,23941,1242,28246,8,2242,
2022,2360,Village of Greendale Water Utility,AB,Water,,,,0,,,,0,1051,298812,1057,368465,1052,451021,911,265908,265,170890,
2022,2350,Green Bay Water Utility,AB,Water,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,
2022,2310,Town of Grand Chute Sanitary District 1,AB,Water,,,,0,,,,0,1149,176662,1250,214932,1240,248034,1083,132975,174,43110,
2022,2300,Grafton Water and Wastewater Utility,AB,Water,,,,0,,,,0,372,34267,397,45560,392,52950,352,27548,136,41459,
2022,2260,Glendale Water Utility,AB,Water,,,,0,,,,0,2032,116179,2074,312050,2070,354141,2167,167087,298,123210,
2022,2210,Germantown Water Utility,AB,Water,,,,0,,,,0,0,0,0,0,0,0,1537,352983,2,7153,
2022,2105,Franklin Municipal Water Utility,AB,Water,,,,0,,,,0,0,0,0,0,0,0,693,91380,422,139832,
2022,2060,City of Fort Atkinson Water Utility,AB,Water,,,,1320,,,,12,250,9051,234,16979,104,14664,168,27859,126,33951,
2022,2010,Fond Du Lac Water Utility,AB,Water,,,,0,,,,0,574,247825,749,322352,587,263139,758,314945,947,409459,
2022,2000,Florence Utility Commission,AB,Water,,,,0,,,,0,0,0,0,0,0,0,35,3029,6,638,
2022,1990,Fitchburg Water Utility,AB,Water,,,,2715,,,,5,13368,153,141,16895,190,46280,115,8820,103,20464,
2022,1800,Elkhorn Light And Water,AB,Water,,,,1081,,,,3,90,53312,58,21075,70,27509,90,48545,12,3258,
2022,1740,Eau Claire Municipal Water Utility,AB,Water,,,,0,,,,0,3205,309222,3576,426531,3665,528345,3582,262877,1458,349512,
2022,1710,Eagle River Light And Water Commission,AB,Water,,,,248,,,,0,88,8444,67,6685,58,5741,47,3860,6,688,
2022,1610,De Pere Water Department,AB,Water,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,
2022,1545,Darboy Joint Sanitary District No 1,AB,Water,,,,614,,,,12,158,11961,180,13100,163,13905,202,14545,10,285,
2022,1480,City of Cudahy Water Utility,AB,Water,,,,0,,,,0,994,52484,1039,62021,976,38595,1063,92628,580,151308,
2022,1300,Columbus Water And Light Department,AB,Water,,,,1497,,,,16,464,6415,456,3854,528,3945,489,5994,18,1955,
2022,1120,Chippewa Falls Department of Public Utilities,AB,Water,,,,0,,,,0,557,55278,623,77462,593,90516,139,8656,391,72815,
2022,1000,Cedarburg Light And Water Commission,AB,Water,,,,696,,,,1,423,74708,403,62920,483,98264,496,82890,4,427,
2022,900,Village of Caledonia Water Utility,AB,Water,,,,0,,,,0,6883,702758,6438,750207,7009,1045147,6904,628912,782,266500,
2022,780,Brown Deer Water Public Utility,AB,Water,,,,0,,,,0,1394,133964,1403,191487,1368,225588,1367,127485,523,154741,
2022,760,Brookfield Municipal Water Utility,AB,Water,,,,0,,,,0,851,109918,884,136917,891,159292,834,86503,537,289026,
2022,550,Black River Falls Municipal Electric and Water,AB,Water,,,,2661,,,,130,640,183941,660,94855,765,136779,537,111958,17,2196,
2022,455,Beloit Water Utility,AB,Water,,,,0,,,,0,3288,92121,3650,125561,3490,165145,3312,46309,1666,101022,
2022,430,Bellevue Water Utility,AB,Water,,,,0,,,,0,479,30995,462,35307,475,50883,341,18780,124,47698,
2022,400,Beaver Dam Water Utility,AB,Water,,,,0,,,,0,1256,138816,1396,186136,1436,221010,1325,103048,560,138266,
2022,360,City of Baraboo Water Utility,AB,Water,,,,1366,,,,97,166,4065,157,4628,179,6215,172,2821,27,3675,
2022,255,Ashwaubenon Water And Sewer Utility,AB,Water,,,,0,,,,0,0,0,0,0,0,0,213,56934,213,56934,
2022,250,Ashland Water Utility,AB,Water,,,,60,,,,21,358,51849,259,42565,296,40375,269,24154,198,51042,
2022,190,Appleton Water Department,AB,Water,,,,0,,,,0,0,0,0,0,0,0,0,355436,1595,441010,
